id,name,dob,height(m),weight(kg),sport,country,num_followers,num_articles,personal_best,event,coach_id
a_000067,Jonathan Harris,2000-09-17,1.99,75,gymnastics,Germany,7293,79,37.0,vault,c_000060
a_000031,Brandon Price,2001-04-23,1.6,71,swimming,Germany,2593,15,76.68,medley,c_001147
a_000035,Michelle Bowers,1994-06-20,1.6,83,swimming,USA,6855,40,57.12,butterfly,c_000556
a_000374,Christopher Wang,1999-10-21,1.89,62,sport climbing,Australia,4398,4,36.17,lead,c_000352
a_000135,Janet Smith,2006-03-17,1.78,86,rowing,China,8979,95,23.22,sweeping,c_001819
a_000354,Gregory Owens,1992-05-02,1.53,64,surfing,UK,7794,100,19.0,shortboard,c_001032
a_000313,Ryan Coleman,2001-06-01,1.76,50,wrestling,Germany,2738,2,35.0,freestyle,c_000555
a_000349,Craig Gilbert,2006-03-09,1.79,70,surfing,Germany,4861,23,35.0,longboard,c_000531
a_000255,Willie Cooley,1991-11-25,1.69,62,boxing,China,4171,25,15.0,welterweight,c_001241
a_000062,Whitney Castillo MD,1988-11-01,1.67,77,gymnastics,Japan,2762,17,92.0,vault,c_001760
a_000104,Marissa Greene,2003-07-22,1.86,90,cycling,Australia,1311,34,60.12,mountain,c_000009
a_000184,Valerie Pope,2008-10-11,1.64,82,shooting,UsA,6545,84,94.0,rifle,c_001022
a_000226,Curtis Vang,2003-01-16,1.81,88,weightlifting,Germany,1856,29,131.0,snatch,c_000572
a_000036,Karen Cruz,2002-06-16,1.6,82,swimming,China,7664,46,38.54,backstroke,c_001633
a_000093,Crystal Riley,1992-07-29,1.98,96,cycling,AUStRALia,5194,0,77.82,mountain,c_000381
a_000034,Jesus Thomas,1990-09-25,1.92,99,swimming,auSTrAliA,7848,42,46.22,freestyle,c_001300
a_000097,Christopher Ryan,2005-02-07,1.75,84,cycling,France,9030,19,77.05,BMX,c_000984
a_000153,Kelly Barnes,1999-04-05,1.94,91,rowing,France,3488,61,26.91,sweeping,c_000091
a_000264,Tonya Shah,2001-03-19,1.79,72,boxing,Russia,8149,86,93.0,light heavyweight,c_000693
a_000286,Clayton Watson,1989-09-03,1.88,74,boxing,Russia,8504,79,100.0,welterweight,c_001908
a_000043,Dawn Peterson,2001-12-03,1.71,85,swimming,Italy,1427,51,66.74,medley,c_000807
a_000355,Christopher Williams,2000-05-17,1.86,80,sport climbing,Canada,8663,57,30.41,bouldering,c_000128
a_000362,Raymond Rodriguez,1992-10-24,1.74,80,sport climbing,japAN,399,76,83.61,lead,c_001646
a_000013,Kevin Schmitt,1994-05-13,1.91,66,swimming,USA,7607,92,68.67,butterfly,c_001245
a_000078,Michael Williams,1990-03-16,1.72,76,cycling,USA,8994,45,22.59,road,c_000501
a_000079,Richard Davis,2009-02-05,1.72,60,cycling,iTALY,1201,40,38.78,track,c_001430
a_000059,Mrs. Krista Johnson,2006-05-01,1.96,56,track,Canada,6899,70,30.14,hurdles,c_001289
a_000100,Mr. Joshua Lang MD,1991-12-02,1.63,98,cycling,USA,1547,26,81.16,mountain,c_001093
a_000032,Michael Butler,2001-01-09,1.92,53,swimming,Italy,3828,68,51.62,medley,c_001003
a_000166,Gregory Pratt,1989-11-10,1.7,62,shooting,Italy,944,87,18.0,rifle,c_001804
a_000108,Amanda Smith,2005-02-27,1.58,83,cycling,france,1822,4,84.56,mountain,c_000364
a_000334,Nicole Wilson,1990-03-02,1.88,74,karate,Japan,1027,86,31.0,kata,c_000571
a_000108,Amanda Smith,2005-02-27,1.58,83,cycling,france,1822,4,84.56,BMX,c_000364
a_000178,Drew Fisher,1989-01-17,1.71,100,shooting,Germany,2283,33,60.0,rifle,c_001394
a_000204,Jason Bush,1993-04-19,1.96,75,shooting,UK,9670,100,39.0,rifle,c_001913
a_000364,Trevor Newman,1993-03-11,1.77,97,sport climbing,Russia,6741,82,77.38,lead,c_000833
a_000189,David Maddox,2001-05-09,1.55,80,shooting,Germany,4193,41,75.0,pistol,c_001619
a_000281,David Roberts,2000-11-20,1.9,95,boxing,UK,4437,77,20.0,welterweight,c_000847
a_000146,Christopher Jones,1992-06-17,1.81,98,rowing,China,1127,1,48.5,sweeping,c_000464
a_000268,Michelle Herrera,1991-11-18,1.63,66,boxing,Canada,9203,54,31.0,lightweight,c_001242
a_000058,Dennis Murray,2001-08-25,1.69,87,track,Russia,6158,19,89.88,relay,c_000817
a_000227,Elizabeth Wallace,2005-11-04,1.63,57,weightlifting,China,807,16,161.0,clean and jerk,c_000076
a_000145,James Beck,1991-04-04,1.52,90,rowing,Canada,4238,42,94.56,sculling,c_001951
a_000302,Lauren Cross,2001-08-29,1.63,69,wrestling,Germany,8546,85,75.0,greco-roman,c_000939
a_000366,Kenneth Tucker,2004-07-05,1.6,52,sport climbing,Canada,6468,57,30.94,speed,c_000051
a_000288,George Williamson,2007-04-14,1.83,61,boxing,China,6901,82,56.0,flyweight,c_000777
a_000382,Ricky Reese,2008-10-10,1.66,93,sport climbing,India,4731,59,32.82,speed,c_000459
a_000279,Stephanie Smith,2008-08-16,1.88,75,boxing,CanADA,2388,67,53.0,featherweight,c_001587
a_000233,Timothy Clark,2008-04-23,1.72,52,weightlifting,UK,9715,90,250.0,snatch,c_001530
a_000246,Phillip Jones,1992-09-15,1.66,58,archery,Australia,2112,41,35.0,recurve,c_001873
a_000023,Eileen Rice,1989-09-08,1.71,74,swimming,Australia,5567,35,76.22,backstroke,c_001319
a_000117,Abigail Rivera,1996-02-24,1.74,57,cycling,RUsSiA,7965,10,67.73,track,c_001665
a_000002,Brandon Richardson,1999-08-26,1.51,61,swimming,USA,2140,24,41.76,backstroke,c_000636
a_000230,Elizabeth Maddox,2001-03-04,1.52,98,weightlifting,Russia,9195,37,263.0,clean and jerk,c_001656
a_000281,David Roberts,2000-11-20,1.9,95,boxing,UK,4437,77,20.0,featherweight,c_000847
a_000267,Tina Collins,1988-12-25,1.56,54,boxing,Japan,2763,62,39.0,featherweight,c_000794
a_000327,Nicole Hood,1995-03-15,1.71,89,karate,inDIA,5201,30,45.0,kumite,c_001313
a_000027,Corey Schneider,2002-10-17,1.72,80,swimming,France,5426,1,45.15,breaststroke,c_000303
a_000286,Clayton Watson,1989-09-03,1.88,74,boxing,Russia,8504,79,100.0,light heavyweight,c_001908
a_000363,Kristina Burns,1998-01-09,1.94,89,sport climbing,Australia,7738,71,20.8,speed,c_000003
a_000231,Terrance Baker,1990-08-16,1.9,70,weightlifting,India,2289,51,55.0,clean and jerk,c_000651
a_000407,Emily Kelley,1993-03-10,1.98,81,decathlon,CANaDa,3672,76,65.0,400m,c_001455
a_000069,Kaitlyn Clark,1997-01-14,1.78,75,gymnastics,Russia,9288,30,38.0,rings,c_001020
a_000312,Tara Jones,1995-08-28,1.84,97,wrestling,USA,9637,4,60.0,freestyle,c_001443
a_000107,Heather Hill,2003-08-16,1.69,86,cycling,Japan,3929,33,37.22,road,c_001934
a_000032,Michael Butler,2001-01-09,1.92,53,swimming,Italy,3828,68,51.62,breaststroke,c_001003
